	species	PFT	L	porosity	An	Ca	Ci	Cistar	gs	tortuosity	mu_eff	mu_eff_err16	mu_eff_err84	gamma_eff	gamma_eff_err16	gamma_eff_err84
1568	Sequoiadendron giganteum	evergreen gymnosperms	486,0	0,241	8,7	400,0	292,0	40,485	0,095	1,57	0,05374475744337272	0,003753625005199983	0,003645596146676859	0,15009932429872716	0,02930106082801147	0,030118975315264196
1602	Solanum lycopersicum	C3 annual herbaceous	242,6	0,165	16,74	400,0	309,51351351351354	40,485	0,185	1,57	0,07661017634321472	0,004964396239847638	0,0055243386218390145	0,21217344116680156	0,03749035774823037	0,04399802823421331
1632	Solanum lycopersicum	C3 annual herbaceous	243,8	0,218	19,79	400,0	299,5431472081218	40,485	0,197	1,57	0,0710845438192956	0,004420164351821215	0,0046601278173976635	0,1712205173486222	0,03188874750095358	0,03500122612798173
1642	Solanum lycopersicum	C3 annual herbaceous	134,9	0,51	10,87	400,0	272,6	40,485	0,111	1,57	0,008560965557572117	0,0005455495684883321	0,000573175555431427	0,022390163516806977	0,004446672315234698	0,0049310402167569295
1659	Solanum lycopersicum	C3 annual herbaceous	123,6	0,57	9,96	400,0	294,7	40,485	0,118	1,57	0,006142452169970402	0,0003921566574056094	0,0004584422470472263	0,019944587319219144	0,0035300907395837758	0,004431672349959781
1703	Taxus baccata	evergreen gymnosperms	434,0	0,412	9,2	400,0	231,0	40,485	0,062	1,57	0,037011271593016176	0,0008918845558072014	0,0011239422198559834	0,05109572687157313	0,00923056884690518	0,00921865234716112
1704	Taxus baccata	evergreen gymnosperms	608,4	0,3	7,76	400,0	263,859649122807	40,485	0,057	1,57	0,05778115406736949	0,0020566739204194787	0,002599429560994522	0,08898774740339772	0,016681779412530767	0,01893556598132333
1705	Taxus baccata	evergreen gymnosperms	608,4	0,3	7,76	400,0	263,859649122807	40,485	0,057	1,57	0,05782982038726642	0,0020991192362159877	0,0024937429016987506	0,08935435790819987	0,01699177527151824	0,018161930652500366
1707	Taxus cuspidata	evergreen gymnosperms	472,0	0,36	8,0	400,0	236,0	40,485	0,056	1,57	0,03912827434285525	0,0012420612355725918	0,0014538276024609678	0,05750497709608402	0,0114818108489887	0,011312906141546793
1710	Thelypteris dentata	ferns	127,99003901170353	0,208	6,7	400,0	309,3	40,485	0,07386990077177509	1,57	0,012085217129454864	0,0008154947558958025	0,000821254831951522	0,035564687766410995	0,006918467210572279	0,00743080318200922
1717	Thuja plicata	evergreen gymnosperms	685,0	0,307	7,4	400,0	247,0	40,485	0,055	1,57	0,06058238035163446	0,00229982818826005	0,0027219728741038063	0,09629456060028359	0,017954161991325837	0,01955413293128974
1759	Triticum aestivum	C3 annual herbaceous	172,64566970091028	0,215	18,3	400,0	274,6575342465753	40,485	0,146	1,57	0,050985081453927626	0,002129127854882687	0,0024799802710280816	0,08922809992084715	0,01597639547325229	0,017951621978531077
1788	Triticum x Secale	C3 annual herbaceous	267,7	0,298	20,93	450,0	355,9	40,485	0,22242295430393194	1,57	0,048601977448112524	0,0038715870700675933	0,003620030177269022	0,1556773247230328	0,03246734326175764	0,03258461954356043
1808	Vitis vinifera	deciduous angiosperms	138,8	0,134	11,9	400,0	331,60919540229884	40,485	0,174	1,57	0,03388329970933947	0,002344623322710196	0,0029333977827405433	0,1387390231732173	0,023462588612613397	0,03175952880266111
1811	Vitis vinifera	deciduous angiosperms	117,8	0,2	17,14	400,0	302,0571428571428	40,485	0,175	1,57	0,031052706620697874	0,0018494592989703983	0,001891096003374046	0,08126452909329494	0,01458411608068208	0,01564623234624786
1812	Vitis vinifera	deciduous angiosperms	135,4	0,279	17,79	400,0	297,7586206896552	40,485	0,174	1,57	0,026800074734986315	0,001595521503016388	0,0016601201500128504	0,06589233731872293	0,012415553582512354	0,013484188815595016
1813	Vitis vinifera	deciduous angiosperms	166,0	0,325	15,27	400,0	288,54014598540147	40,485	0,137	1,57	0,025013851852714528	0,0013247311791896726	0,0014524364556414843	0,05420871775421994	0,010127832818684138	0,011346143867586922
1819	Vitis vinifera	deciduous angiosperms	129,5	0,219	15,02	400,0	300,5298013245033	40,485	0,151	1,57	0,027101243532637598	0,0016300408333860122	0,0017662962988290558	0,06815857901833872	0,012759283099026693	0,01448789500686598
1825	Vitis vinifera	deciduous angiosperms	124,5	0,266	18,33	400,0	303,015873015873	40,485	0,189	1,57	0,026094286838205784	0,0016846877092376554	0,0016135750568361563	0,06913051578242366	0,013421132181933873	0,013535381971589183
1827	Vitis vinifera	deciduous angiosperms	127,1	0,13	13,57	400,0	328,57894736842104	40,485	0,19	1,57	0,03689510451351323	0,002702631475849024	0,002878493738813749	0,14229439570226077	0,02583088773676466	0,029669558594143774
1829	Vitis vinifera	deciduous angiosperms	130,6	0,216	14,37	400,0	298,0851063829787	40,485	0,141	1,57	0,026890111661934106	0,0015800334759534032	0,0017206954999477615	0,0661261316592178	0,012296372206340306	0,01398674951947651
1830	Vitis vinifera	deciduous angiosperms	128,0	0,159	14,74	400,0	299,04109589041093	40,485	0,146	1,57	0,0369246843219017	0,002233616965509763	0,0021197587521310027	0,09099120891208155	0,017109512277305533	0,01691763370741442
1840	Vitis vinifera	deciduous angiosperms	142,6	0,24	14,73	400,0	293,2608695652174	40,485	0,138	1,57	0,02769484738216338	0,001603465976917292	0,001615895396696751	0,06414989939411961	0,012294353751739096	0,012811320457485495
1881	Ziziphus spina-christi	evergreen angiosperms	137,12608582574774	0,128	14,6	400,0	297,9020979020979	29,9	0,143	1,57	0,047542880206554526	0,002787363811745047	0,002931387621927302	0,11946774487322026	0,021143064036014902	0,023221405446694654
